,RevalYear,TaxYear,LandValue,BuildingValue,ObxfValue,TotalMarketValue,DeferredValue,TotalAssessedValue,buildingId,id,BuildingNumber,ImprovementType,ValuationModel,QualityCode,ActualYearBuilt,HeatedAreaCard,BedroomCountTotal,BathCountTotal,HalfBathCountTotal,ParcelID,ParcelNumber
29,2023,2023,345000,806580,1240,1152820,0,1152820,1,2641I002,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1984,"2,436 sqft",4,3,0,13622026,2641I002
30,2023,2023,160000,620110,1920,782030,0,782030,1,2641I008,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"1,627 sqft",3,2,0,13622032,2641I008
31,2023,2023,345000,761060,0,1106060,0,1106060,1,2641I036,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,5 - EXCELLENT,1983,"1,932 sqft",4,4,0,13622059,2641I036
32,2023,2023,345000,758600,660,1104260,0,1104260,1,2641I037,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"2,164 sqft",4,3,0,13622060,2641I037
33,2023,2023,160000,853390,930,1014320,0,1014320,1,2641I066,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1992,"2,716 sqft",4,5,0,12206144,2641I066
34,2023,2023,495000,818120,9830,1322950,0,1322950,1,2641I044,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"2,625 sqft",4,3,0,12206327,2641I044
35,2023,2023,160000,841060,220,1001280,0,1001280,1,2641I075,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1984,"2,355 sqft",4,3,1,13622098,2641I075
36,2023,2023,300000,1152150,0,1452150,0,1452150,1,2641A023,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,5 - EXCELLENT,1985,"1,847 sqft",4,3,0,13621784,2641A023
37,2023,2023,160000,701990,240,862230,0,862230,1,2641I090,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"2,243 sqft",5,4,0,12206195,2641I090
38,2023,2023,160000,712360,1340,873700,0,873700,1,2643B015,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"2,792 sqft",4,3,0,13603405,2643B015
